Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
NH,5620,2024-03-13 05:20:00,2024-03-13 05:39:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
OS,860,2024-03-13 05:20:00,2024-03-13 05:39:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
LY,82,2024-03-13 06:15:00,2024-03-13 05:54:00,A,BKK,BANGKOK,THAILAND,3,LANDED
QF,5021,2024-03-13 06:15:00,2024-03-13 05:54:00,A,BKK,BANGKOK,THAILAND,3,LANDED
TG,5483,2024-03-13 06:15:00,2024-03-13 05:54:00,A,BKK,BANGKOK,THAILAND,3,LANDED
VN,3299,2024-03-13 06:15:00,2024-03-13 05:54:00,A,BKK,BANGKOK,THAILAND,3,LANDED
B6,6484,2024-03-13 06:35:00,2024-03-13 06:07:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
DL,7444,2024-03-13 06:35:00,2024-03-13 06:07:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
LY,28,2024-03-13 06:35:00,2024-03-13 06:07:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
QS,1287,2024-03-13 05:35:00,2024-03-13 06:08:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED
LY,2371,2024-03-13 06:00:00,2024-03-13 06:17:00,D,BER,BERLIN,GERMANY,3,DEPARTED
SK,3157,2024-03-13 06:00:00,2024-03-13 06:17:00,D,BER,BERLIN,GERMANY,3,DEPARTED
AA,9262,2024-03-13 05:50:00,2024-03-13 06:19:00,D,CDG,PARIS,FRANCE,3,DEPARTED
AM,7867,2024-03-13 05:50:00,2024-03-13 06:19:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,319,2024-03-13 05:50:00,2024-03-13 06:19:00,D,CDG,PARIS,FRANCE,3,DEPARTED
SK,3161,2024-03-13 05:50:00,2024-03-13 06:19:00,D,CDG,PARIS,FRANCE,3,DEPARTED
AM,7864,2024-03-13 05:55:00,2024-03-13 06:23:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
LY,337,2024-03-13 05:55:00,2024-03-13 06:23:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
SK,3155,2024-03-13 05:55:00,2024-03-13 06:23:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
LY,345,2024-03-13 06:10:00,2024-03-13 06:26:00,D,GVA,GENEVA,SWITZERLAND,3,DEPARTED
AR,7877,2024-03-13 06:10:00,2024-03-13 06:28:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,385,2024-03-13 06:10:00,2024-03-13 06:28:00,D,FCO,ROME,ITALY,3,DEPARTED
SK,3167,2024-03-13 06:10:00,2024-03-13 06:28:00,D,FCO,ROME,ITALY,3,DEPARTED
TP,8898,2024-03-13 06:10:00,2024-03-13 06:28:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,357,2024-03-13 05:55:00,2024-03-13 06:35:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
SK,3165,2024-03-13 05:55:00,2024-03-13 06:35:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
IZ,801,2024-03-13 06:30:00,2024-03-13 06:37:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
LY,361,2024-03-13 06:30:00,2024-03-13 06:39:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
LY,4,2024-03-13 06:50:00,2024-03-13 06:44:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
AA,9265,2024-03-13 06:15:00,2024-03-13 06:45:00,D,MAD,MADRID,SPAIN,3,DEPARTED
AM,7879,2024-03-13 06:15:00,2024-03-13 06:45:00,D,MAD,MADRID,SPAIN,3,DEPARTED
AR,7871,2024-03-13 06:15:00,2024-03-13 06:45:00,D,MAD,MADRID,SPAIN,3,DEPARTED
IB,2394,2024-03-13 06:15:00,2024-03-13 06:45:00,D,MAD,MADRID,SPAIN,3,DEPARTED
LY,395,2024-03-13 06:15:00,2024-03-13 06:45:00,D,MAD,MADRID,SPAIN,3,DEPARTED
IB,2392,2024-03-13 06:30:00,2024-03-13 06:49:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED
LY,393,2024-03-13 06:30:00,2024-03-13 06:49:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED
LY,381,2024-03-13 06:50:00,2024-03-13 06:59:00,D,MXP,MILAN,ITALY,3,DEPARTED
SK,3185,2024-03-13 06:50:00,2024-03-13 06:59:00,D,MXP,MILAN,ITALY,3,DEPARTED
TP,8910,2024-03-13 06:50:00,2024-03-13 06:59:00,D,MXP,MILAN,ITALY,3,DEPARTED
LY,541,2024-03-13 06:50:00,2024-03-13 07:03:00,D,ATH,ATHENS,GREECE,3,DEPARTED
